TrackID,ParentID,ParticleName,StepStartX,StepStartY,StepStartZ,StepEndX,StepEndY,StepEndZ,KineticEnergyBefore(keV),KineticEnergyAfter(keV),EnergyDeposited(keV),StepLength(mm),VolumeName
1,0,gamma,0,0,-150,0,0,-100,500,500,0,50,logicWorld
1,0,gamma,0,0,-100,0,0,-95.2316,500,365.162,0,4.76841,logicalRadiator
1,0,gamma,0,0,-95.2316,1.49809,-2.44055,-92.9531,365.162,0,90.534,3.65954,logicalRadiator
3,1,e-,1.49809,-2.44055,-92.9531,1.50247,-2.45027,-92.9411,274.628,160.088,114.541,0.0864493,logicalRadiator
14,3,opticalphoton,1.49881,-2.44215,-92.9511,0.258143,-2.52784,-88.292,0.00238531,0.00238531,0.00238531,4.82222,logicalRadiator
13,3,opticalphoton,1.49938,-2.44341,-92.9496,0.545757,-10,-91.9498,0.00113177,0.00113177,0.00113177,7.68186,logicalRadiator
12,3,opticalphoton,1.50159,-2.44832,-92.9436,1.1147,-2.6371,-92.1738,0.00240093,0.00240093,0.00240093,0.881968,logicalRadiator
11,3,opticalphoton,1.49965,-2.444,-92.9488,2.62137,-2.1311,-91.359,0.00156596,0.00156596,0.00156596,1.97076,logicalRadiator
10,3,opticalphoton,1.49908,-2.44274,-92.9504,-4.27328,-10,-87.0921,0.00255407,0.00255407,0.00255407,11.1692,logicalRadiator
9,3,opticalphoton,1.49957,-2.44383,-92.9491,2.17981,-3.94975,-92.9615,0.00125225,0.00125225,0.00125225,1.65247,logicalRadiator
8,3,opticalphoton,1.50166,-2.44848,-92.9434,8.86287,-0.13383,-81.6008,0.00400517,0.00400517,0.00400517,13.7185,logicalRadiator
7,3,opticalphoton,1.49943,-2.44351,-92.9494,2.85585,-9.16537,-92.8473,0.00483091,0.00483091,0.00483091,6.85811,logicalRadiator
6,3,opticalphoton,1.49949,-2.44365,-92.9493,7.01957,-1.57646,-87.0983,0.00328095,0.00328095,0.00328095,8.09054,logicalRadiator
5,3,opticalphoton,1.49893,-2.44242,-92.9508,1.53509,-2.12419,-90.6175,0.00216416,0.00216416,0.00216416,2.35517,logicalRadiator
4,3,opticalphoton,1.50001,-2.44481,-92.9479,1.40369,-4.34466,-92.7673,0.00422258,0.00422258,0.00422258,1.91083,logicalRadiator
3,1,e-,1.50247,-2.45027,-92.9411,1.4997,-2.45601,-92.9442,160.088,123.308,36.7794,0.0338121,logicalRadiator
3,1,e-,1.4997,-2.45601,-92.9442,1.49564,-2.45783,-92.9426,123.308,103.593,19.715,0.0213442,logicalRadiator
15,3,opticalphoton,1.49673,-2.45734,-92.943,-1.05407,-3.56164,-93.7921,0.00373553,0.00373553,0.00373553,2.90636,logicalRadiator
3,1,e-,1.49564,-2.45783,-92.9426,1.49816,-2.45536,-92.9421,103.593,67.4506,36.1429,0.0156832,logicalRadiator
3,1,e-,1.49816,-2.45536,-92.9421,1.49843,-2.45501,-92.9419,67.4506,66.5571,0.893485,0.000596447,logicalRadiator
3,1,e-,1.49843,-2.45501,-92.9419,1.49853,-2.4549,-92.9418,66.5571,66.4619,0.0951949,0.000156225,logicalRadiator
3,1,e-,1.49853,-2.4549,-92.9418,1.4986,-2.45483,-92.9418,66.4619,66.2393,0.222609,0.000109538,logicalRadiator
3,1,e-,1.4986,-2.45483,-92.9418,1.4986,-2.45483,-92.9418,66.2393,66.2382,0.00107679,5.26737e-07,logicalRadiator
3,1,e-,1.4986,-2.45483,-92.9418,1.49987,-2.45383,-92.9411,66.2382,0,66.2382,0.0196319,logicalRadiator
3,1,e-,1.49987,-2.45383,-92.9411,1.49987,-2.45383,-92.9411,0,0,0,0,logicalRadiator
2,1,e-,0,0,-95.2316,-0.0020484,0.00333706,-95.2279,134.838,109.241,25.5966,0.0249877,logicalRadiator
17,2,opticalphoton,-0.0010903,0.00177621,-95.2296,-0.960888,0.0146677,-93.2071,0.00198067,0.00198067,0.00198067,2.23873,logicalRadiator
16,2,opticalphoton,-0.000596425,0.00097164,-95.2305,-0.512821,0.0616367,-94.7893,0.00422032,0.00422032,0.00422032,0.678784,logicalRadiator
2,1,e-,-0.0020484,0.00333706,-95.2279,0.000854422,0.00574139,-95.2269,109.241,83.9571,25.2838,0.0172278,logicalRadiator
2,1,e-,0.000854422,0.00574139,-95.2269,-0.00157248,0.00559885,-95.2277,83.9571,56.884,27.0732,0.00935854,logicalRadiator
2,1,e-,-0.00157248,0.00559885,-95.2277,-0.00112882,0.00694276,-95.2277,56.884,0,56.884,0.0152637,logicalRadiator
2,1,e-,-0.00112882,0.00694276,-95.2277,-0.00112882,0.00694276,-95.2277,0,0,0,0,logicalRadiator
